episode,step,epsilon,reward,loss
0,23,1.0000,0.00,0.0000
50,1890,1.0000,0.38,0.0882
100,3901,1.0000,0.38,0.0845
150,5493,1.0000,0.22,0.0811
200,7168,1.0000,0.26,0.0810
250,8759,1.0000,0.22,0.0608
300,10500,1.0000,0.28,0.0650
350,12206,1.0000,0.28,0.0593
400,14077,1.0000,0.34,0.0866
450,16024,1.0000,0.40,0.0882
500,17680,1.0000,0.26,0.0769
550,19355,1.0000,0.28,0.0862
600,20985,1.0000,0.24,0.0676
650,22512,1.0000,0.18,0.0730
700,24616,1.0000,0.44,0.0934
750,26289,1.0000,0.26,0.0726
800,28111,1.0000,0.34,0.0908
850,29661,1.0000,0.20,0.0767
900,31400,0.9987,0.28,0.0674
950,32909,0.9974,0.20,0.0653
1000,34262,0.9962,0.12,0.0555
1050,36014,0.9946,0.30,0.0730
1100,37781,0.9930,0.32,0.0770
1150,39165,0.9918,0.12,0.0521
1200,40863,0.9902,0.30,0.0668
1250,42385,0.9889,0.18,0.0631
1300,43908,0.9875,0.18,0.0730
1350,45569,0.9860,0.28,0.0757
1400,47229,0.9845,0.26,0.0722
1450,48746,0.9831,0.18,0.0648
1500,50670,0.9814,0.36,0.0871
1550,52391,0.9798,0.30,0.0812
1600,54198,0.9782,0.32,0.0781
1650,55915,0.9767,0.30,0.0860
1700,57412,0.9753,0.18,0.0699
1750,59030,0.9739,0.22,0.0696
1800,60485,0.9726,0.16,0.0651
1850,62151,0.9711,0.28,0.0727
1900,64034,0.9694,0.36,0.0840
1950,65968,0.9676,0.40,0.1009
2000,67454,0.9663,0.18,0.0748
2050,68863,0.9650,0.14,0.0743
2100,70478,0.9636,0.24,0.0762
2150,72469,0.9618,0.40,0.0823
2200,74017,0.9604,0.20,0.0676
2250,75759,0.9588,0.30,0.0849
2300,77622,0.9571,0.36,0.0817
2350,78985,0.9559,0.14,0.0656
2400,80565,0.9545,0.22,0.0779
2450,82384,0.9529,0.34,0.0863
2500,84046,0.9514,0.28,0.0750
2550,85654,0.9499,0.24,0.0790
2600,87153,0.9486,0.18,0.0790
2650,89147,0.9468,0.40,0.0908
2700,90442,0.9456,0.08,0.0593
2750,92243,0.9440,0.34,0.0895
2800,94061,0.9423,0.32,0.0906
2850,95555,0.9410,0.16,0.0797
2900,97361,0.9394,0.34,0.1003
2950,99006,0.9379,0.24,0.0846
3000,100529,0.9365,0.22,0.0772
3050,102462,0.9348,0.38,0.1017
3100,103973,0.9334,0.18,0.0794
3150,105633,0.9319,0.24,0.0882
3200,106927,0.9308,0.08,0.0568
